,,Deprecated,Preview,Reactions,Raw,Cached,Scopes,SNI,,,,HTTP Code,array of arrays,"array of hashrefs, paged",hash ref,Empty body,Array ref,authenticated user,Location,Sends array,params,
Git Data,Commits,,,,,,,,Commit signature verification,GET,/repos/:owner/:repo/git/commits/:sha,200,,,x,,,,,,lots of stuff,application/vnd.github.cryptographer-preview
Git Data,References,,,,,,,,Get a Reference,GET,/repos/:owner/:repo/git/refs/:ref,200,,,x,,,,,,,
Git Data,References,,,,,,,,Get a Branch,GET,/repos/:owner/:repo/git/refs/heads/:branch,"200, 404",,,x,,,,,,,
Git Data,References,,,,,,,,Get a Tag,GET,/repos/:owner/:repo/git/tags/:sha,"200, 404",,,x,,,,,,,
Git Data,References,,,,,,,,Get all References,GET,/repos/:owner/:repo/git/refs,200,,x,,,,,,,,
Git Data,References,,,,,,,,Get all Branches,GET,,200,,x,,,,,,,,
Git Data,References,,,,,,,,Get all Tags,GET,/repos/:owner/:repo/git/refs/tags,200,,x,,,,,,,,
Git Data,References,,,,,,,,Create a Reference,POST,/repos/:owner/:repo/git/refs,201,,,,,,,x,,,
Git Data,References,,,,,,,,Update a Reference,PATCH,/repos/:owner/:repo/git/refs/:ref,200,,,x,,,,,,"sha=SHA1, force=B",
Git Data,References,,,,,,,,Delete a Reference,DELETE,/repos/:owner/:repo/git/refs/:ref,204,,,,,,x,,,,
Git Data,References,,,,,,,,Delete a branch,DELETE,/repos/:owner/:repo/git/refs/heads/:branch,204,,,,,,x,,,,
Git Data,References,,,,,,,,Delete a tag,DELETE,/repos/:owner/:repo/git/refs/tags/:tag,204,,,,,,x,,,,
Git Data,Tags,,,,,,,,Get a Tag,GET,/repos/:owner/:repo/git/tags/:sha,200,,,x,,,,,,lots of stuff,
Git Data,Tags,,,,,,,,Create a Tag Object,POST,/repos/:owner/:repo/git/tags,201,,,x,,,,x,,lots of stuff,application/vnd.github.cryptographer-preview
Git Data,Tags,,,,,,,,Tag signature verification,GET,/repos/:owner/:repo/git/tags/:sha,200,,,x,,,,,,lots of stuff,
Git Data,Trees,,,,,,,,Get a Tree,GET,/repos/:owner/:repo/git/trees/:sha,200,,,x,,,,,,,
Git Data,Trees,,,,,,,,Get a Tree Recursively,GET,/repos/:owner/:repo/git/trees/:sha?recursive=1,200,,,x,,,,,,,
Git Data,Trees,,,,,,,,Create a Tree,POST,/repos/:owner/:repo/git/trees,201,,,x,,,,x,,lots of stuff,
Integrations,Integrations,,x,,,,,,Find installations,GET, /integration/installations,200,,x,,,,,,,,application/vnd.github.machine-man-preview
Integrations,Integrations,,x,,,,,,Create a new installation token,POST,/installations/:installation_id/access_tokens,201,,,x,,,,,,user_id=I,application/vnd.github.machine-man-preview
Integrations,Integrations,,x,,,,,,Request identity of user,POST,/integration/identity/user,?,,,x,,,,,,nonce=S,application/vnd.github.machine-man-preview
Integrations,Installations,,x,,,,,,List repositories,GET,/installation/repositories,200,,x,,,,,,,user_id=I,
Issues,,,,,,,,,"List issues (owned, member, orgs)",GET,/issues,200,,x,,,,x,,,"filter={assigned*, created, mentioned, subscribed, all}, state={open*, closed, all}, labels=CSV, sort={created*, updated, comments}, direction={asc,desc*},since=ISO8601","application/vnd.github.VERSION.{raw,text,html,full}+json,  application/vnd.github.squirrel-girl-preview"
Issues,,,,,,,,,List issues (owned repos and member),GET,/user/issues,200,,x,,,,x,,,,
Issues,,,,,,,,,List issues (orgs),GET,/orgs/:org/issues,200,,x,,,,,,,,
Issues,,,,,,,,,List issues for a repository,GET,/repos/:owner/:repo/issues,200,,x,,,,,,,lots of stuff,
Issues,,,,,,,,,Get a single issue,GET,/repos/:owner/:repo/issues/:number,200,,,x,,,,,,,
Issues,,,,,,,,,Create an issue,POST,/repos/:owner/:repo/issues,201,,,x,,,,,,,
Issues,,,,,,,,,Edit an issue,PATCH,/repos/:owner/:repo/issues/:number,200,,,,,,,,,lots of stuff,
Issues,,,,,,,,,Lock an issue,PUT,/repos/:owner/:repo/issues/:number/lock,204,,,,x,,,,,,set Content-length to 0
Issues,,,,,,,,,Unlock an issue,DELETE,/repos/:owner/:repo/issues/:number/lock,204,,,,x,,,,,,
Issues,Assignees,,,,,,,,List assignees,GET,/repos/:owner/:repo/assignees,200,,x,,,,,,,,
Issues,Assignees,,,,,,,,Check assignee,GET,/repos/:owner/:repo/assignees/:assignee,"204,404",,,,,,,,,,
